Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C16, C17, C18, C2, C5, C6",0603,11,100n,C14663
"C10, C9",0603,2,12pF,C38523 
"C11, C3, C4",CP_EIA-3216-18_Kemet-A,3,10uF,C7171
"C7, C8",0603,2,20pF,C1648
D1,D_SMA,1,SMAJ5.0A,C113952
"D2, D3, D4, D5",0805,4,LED,C2297
D6,D_SOD-323,1,1N5819,C48997863
"R1, R2, R5",0603,3,10K,C25804
"R10, R8, R9",0603,3,1K5,C22975
R11,0603,1,1K5,C22843
"R12, R13",0603,2,22,C23345
R15,0603,1,1M,C22935
"R3, R4",0603,2,5K1,C23186
"R6, R7",0603,2,4K7,C23162
SW1,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,1,BOOT0,C221880
SW2,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,1,RESET,C221880
SW3,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,1,KEY1,C221880
SW4,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,1,KEY2,C221880
U1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,GD32F407RET6,C2688748
X1,HC-49S_L11.4-W4.8,1,25Mhz,C14872
X2,FC-135R_L3.2-W1.5,1,32.768kHz,C32346
