Designator,Mid X,Mid Y,Rotation,Layer
C1,75.2,-38.9,270.0,top
C10,64.8,-56.6,270.0,top
C11,117.5,-49.8,0.0,top
C12,86.3,-56.0,0.0,top
C13,71.2,-60.2,90.0,top
C14,84.5,-71.7,0.0,top
C15,70.8,-67.9,180.0,top
C16,76.3,-74.0,270.0,top
C17,85.0,-60.0,90.0,top
C18,74.0,-58.2,180.0,top
C2,114.4,-44.8,270.0,top
C3,109.4,-41.2,180.0,top
C4,104.4,-51.8,180.0,top
C5,114.3,-49.4,270.0,top
C6,105.025,-54.0,180.0,top
C7,51.8,-55.6,90.0,top
C8,51.8,-62.975,270.0,top
C9,67.3,-56.6,270.0,top
D1,120.87,-46.925,0.0,top
D2,52.8,-74.1,0.0,top
D3,52.8,-72.0,0.0,top
D4,52.8,-69.9,0.0,top
D5,52.8,-67.8,0.0,top
D6,65.4,-53.9,180.0,top
H1,56.4,-45.0,0.0,top
H2,98.4,-45.0,0.0,top
H3,98.4,-85.2,0.0,top
H4,56.4,-85.2,0.0,top
J1,77.35,-44.15,90.0,top
J2,94.01,-37.0,270.0,top
J3,55.05,-38.4,90.0,top
J4,77.35,-85.23,90.0,top
J6,60.3,-50.97,0.0,top
R1,74.3,-35.3,180.0,top
R10,56.3,-69.9,0.0,top
R11,56.3,-67.8,0.0,top
R12,115.4,-40.76,180.0,top
R13,115.4,-39.16,180.0,top
R14,112.9,-38.3,270.0,top
R15,58.6,-59.2,90.0,top
R2,79.1,-75.6,90.0,top
R3,115.4,-42.36,180.0,top
R4,115.4,-37.56,180.0,top
R5,73.6,-38.9,270.0,top
R6,69.8,-70.9,270.0,top
R7,71.5,-70.9,270.0,top
R8,56.3,-74.1,0.0,top
R9,56.3,-72.0,0.0,top
SW1,67.25,-37.0,0.0,top
SW2,81.45,-37.0,0.0,top
SW3,110.0,-85.0,0.0,top
SW4,121.0,-85.0,0.0,top
SYM1,102.371479,-37.216534,0.0,top
U1,121.2,-40.0,90.0,top
U2,108.9,-46.3,0.0,top
U3,81.7,-52.9,180.0,top
U4,78.95,-65.64,270.0,top
X1,55.2,-59.2,90.0,top
X2,66.1,-59.3,0.0,top
